stage,path,n_rows,n_species,n_pu,total_patch_area_km2,target_area_retained_km2,actual_area_retained_km2,area_match_error_km2,keep_n,rank_cutoff
0,Data/Results/PriorityRuns/curve_q025_taxa_mammals_birds_sdm_ppm_redlist_include_lc_remove_1000_k_100/ana/rank_lut_abf/lut_stage_0000.rds,1111419,103,20209,7139219.36459509,190740.914917118,190740.914917117,-5.82076609134674e-10,2125591,0
1,Data/Results/PriorityRuns/curve_q025_taxa_mammals_birds_sdm_ppm_redlist_include_lc_remove_1000_k_100/ana/rank_lut_abf/lut_stage_0001.rds,1051046,103,20083,7108701.67948602,181566.849841879,181566.83085751,-0.018984368944075,2023782,0.0478967949748039
2,Data/Results/PriorityRuns/curve_q025_taxa_mammals_birds_sdm_ppm_redlist_include_lc_remove_1000_k_100/ana/rank_lut_abf/lut_stage_0002.rds,972940,103,20003,7036962.88296901,172519.086565577,172519.11990173,0.0333361531666014,1922361,0.0956110581755638
3,Data/Results/PriorityRuns/curve_q025_taxa_mammals_birds_sdm_ppm_redlist_include_lc_remove_1000_k_100/ana/rank_lut_abf/lut_stage_0003.rds,924787,103,19831,6955080.66323774,163383.743822107,163383.762337558,0.0185154507344123,1820849,0.143368124961853
4,Data/Results/PriorityRuns/curve_q025_taxa_mammals_birds_sdm_ppm_redlist_include_lc_remove_1000_k_100/ana/rank_lut_abf/lut_stage_0004.rds,864475,103,19801,6860942.90125625,154303.27217849,154303.311623453,0.039444962516427,1718479,0.191528856754303
5,Data/Results/PriorityRuns/curve_q025_taxa_mammals_birds_sdm_ppm_redlist_include_lc_remove_1000_k_100/ana/rank_lut_abf/lut_stage_0005.rds,784843,103,19779,6739052.59901703,145291.630854269,145291.618344605,-0.0125096642586868,1617969,0.238814517855644
6,Data/Results/PriorityRuns/curve_q025_taxa_mammals_birds_sdm_ppm_redlist_include_lc_remove_1000_k_100/ana/rank_lut_abf/lut_stage_0006.rds,709082,103,19571,6582752.09602937,136242.973639246,136243.002143303,0.028504056710517,1516584,0.286511838436127
7,Data/Results/PriorityRuns/curve_q025_taxa_mammals_birds_sdm_ppm_redlist_include_lc_remove_1000_k_100/ana/rank_lut_abf/lut_stage_0007.rds,642535,103,19252,6414401.68186477,127404.602852907,127404.638453937,0.0356010301329661,1416776,0.333467245101929
8,Data/Results/PriorityRuns/curve_q025_taxa_mammals_birds_sdm_ppm_redlist_include_lc_remove_1000_k_100/ana/rank_lut_abf/lut_stage_0008.rds,571491,103,19037,6222292.01604278,118600.179800123,118600.171747146,-0.00805297696206253,1317458,0.380192130804062
9,Data/Results/PriorityRuns/curve_q025_taxa_mammals_birds_sdm_ppm_redlist_include_lc_remove_1000_k_100/ana/rank_lut_abf/lut_stage_0009.rds,492865,103,18518,5999011.88515597,109643.089815816,109643.122966759,0.0331509425741388,1216910,0.427495688199997
10,Data/Results/PriorityRuns/curve_q025_taxa_mammals_birds_sdm_ppm_redlist_include_lc_remove_1000_k_100/ana/rank_lut_abf/lut_stage_0010.rds,406319,103,17212,5757610.97662768,100608.838964023,100608.869918768,0.0309547448414378,1116068,0.474937558174133
11,Data/Results/PriorityRuns/curve_q025_taxa_mammals_birds_sdm_ppm_redlist_include_lc_remove_1000_k_100/ana/rank_lut_abf/lut_stage_0011.rds,318380,103,16176,5464948.93556132,91633.8407339457,91633.800861072,-0.0398728737491183,1016420,0.521817684173584
12,Data/Results/PriorityRuns/curve_q025_taxa_mammals_birds_sdm_ppm_redlist_include_lc_remove_1000_k_100/ana/rank_lut_abf/lut_stage_0012.rds,234191,103,14596,5117241.57042466,82635.5790113504,82635.5338511896,-0.045160160807427,916727,0.568719029426575
13,Data/Results/PriorityRuns/curve_q025_taxa_mammals_birds_sdm_ppm_redlist_include_lc_remove_1000_k_100/ana/rank_lut_abf/lut_stage_0013.rds,165914,103,13081,4711834.81395617,73571.2009396379,73571.1725069312,-0.0284327067201957,816157,0.616032898426056
14,Data/Results/PriorityRuns/curve_q025_taxa_mammals_birds_sdm_ppm_redlist_include_lc_remove_1000_k_100/ana/rank_lut_abf/lut_stage_0014.rds,118096,103,11678,4272395.33714669,64536.12135189,64536.1316753049,0.0103234148700722,716013,0.663146376609802
15,Data/Results/PriorityRuns/curve_q025_taxa_mammals_birds_sdm_ppm_redlist_include_lc_remove_1000_k_100/ana/rank_lut_abf/lut_stage_0015.rds,79227,103,10443,3807492.72787151,55709.2858624125,55709.2648188118,-0.0210436006818782,618157,0.70918345451355
16,Data/Results/PriorityRuns/curve_q025_taxa_mammals_birds_sdm_ppm_redlist_include_lc_remove_1000_k_100/ana/rank_lut_abf/lut_stage_0016.rds,52000,103,8649,3279751.00646029,46585.6521070506,46585.6433140053,-0.00879304533009417,517318,0.756623923778534
17,Data/Results/PriorityRuns/curve_q025_taxa_mammals_birds_sdm_ppm_redlist_include_lc_remove_1000_k_100/ana/rank_lut_abf/lut_stage_0017.rds,31121,103,6330,2711885.70450567,37477.6654775495,37477.6886686486,0.0231910991424229,416502,0.804053544998169
18,Data/Results/PriorityRuns/curve_q025_taxa_mammals_birds_sdm_ppm_redlist_include_lc_remove_1000_k_100/ana/rank_lut_abf/lut_stage_0018.rds,19266,103,5099,2094570.88608377,28391.8028082409,28391.7957855525,-0.00702268844543141,315694,0.851479411125183
19,Data/Results/PriorityRuns/curve_q025_taxa_mammals_birds_sdm_ppm_redlist_include_lc_remove_1000_k_100/ana/rank_lut_abf/lut_stage_0019.rds,14037,103,4838,1444468.16428906,19390.2298169593,19390.1860578042,-0.0437591551199148,215651,0.898545384407044
20,Data/Results/PriorityRuns/curve_q025_taxa_mammals_birds_sdm_ppm_redlist_include_lc_remove_1000_k_100/ana/rank_lut_abf/lut_stage_0020.rds,9465,102,3717,774771.149920504,10411.1337237705,10411.1278760004,-0.00584777006406512,115648,0.945592522621155
21,Data/Results/PriorityRuns/curve_q025_taxa_mammals_birds_sdm_ppm_redlist_include_lc_remove_1000_k_100/ana/rank_lut_abf/lut_stage_0021.rds,2612,94,1410,91726.018288704,1302.30059474852,1302.27860419166,-0.021990556864921,14375,0.993237197399139
22,Data/Results/PriorityRuns/curve_q025_taxa_mammals_birds_sdm_ppm_redlist_include_lc_remove_1000_k_100/ana/rank_lut_abf/lut_stage_0022.rds,778,86,670,24215.223284615,383.586781157384,383.571509368025,-0.0152717893591898,4207,0.998020768165588
